,DetectedCamera_Front,DetectedCamera_Left,DetectedCamera_Rear,DetectedCamera_Right,AngleOfSign,SignAspectRatio,SignWidth,SignHeight
11840,0.0,0.0,1.0,0.0,203,0.94,45,48
11841,1.0,0.0,0.0,0.0,24,0.95,63,66
11842,0.0,1.0,0.0,0.0,253,0.49,26,53
11843,0.0,0.0,0.0,1.0,54,0.9,140,156
11844,1.0,0.0,0.0,0.0,22,0.96,70,73
11845,1.0,0.0,0.0,0.0,23,0.92,79,86
11846,0.0,0.0,0.0,1.0,68,0.75,77,102
11847,0.0,0.0,0.0,1.0,77,0.49,94,190
11848,0.0,0.0,1.0,0.0,203,1.02,60,59
11849,0.0,0.0,0.0,1.0,67,0.72,166,230
11850,0.0,1.0,0.0,0.0,262,0.9,74,82
11851,1.0,0.0,0.0,0.0,23,1.01,98,97
11852,1.0,0.0,0.0,0.0,22,0.95,87,92
11853,1.0,0.0,0.0,0.0,10,0.86,36,42
11854,0.0,1.0,0.0,0.0,244,0.74,64,87
11855,0.0,1.0,0.0,0.0,252,0.58,52,90
11856,0.0,0.0,0.0,1.0,76,0.67,112,167
11857,1.0,0.0,0.0,0.0,19,1.07,120,112
11858,1.0,0.0,0.0,0.0,25,0.96,132,137
11859,0.0,0.0,0.0,1.0,63,0.97,211,218
11860,0.0,1.0,0.0,0.0,248,0.68,71,104
11861,1.0,0.0,0.0,0.0,19,1.0,120,120
11862,0.0,1.0,0.0,0.0,223,1.17,104,89
11863,0.0,0.0,0.0,1.0,53,1.01,179,178
11864,0.0,0.0,0.0,1.0,68,0.98,170,174
11865,1.0,0.0,0.0,0.0,24,0.95,143,151
11866,1.0,0.0,0.0,0.0,38,1.14,206,181
11867,1.0,0.0,0.0,0.0,26,0.87,131,150
11868,0.0,1.0,0.0,0.0,250,0.69,82,118
11869,0.0,0.0,1.0,0.0,197,0.92,47,51
11870,0.0,0.0,0.0,1.0,45,1.2,311,260
11871,0.0,1.0,0.0,0.0,254,0.64,62,97
11872,0.0,1.0,0.0,0.0,254,0.53,55,103
11873,1.0,0.0,0.0,0.0,18,0.89,83,93
11874,0.0,0.0,1.0,0.0,212,0.97,91,94
11875,0.0,0.0,1.0,0.0,206,1.0,65,65
11876,1.0,0.0,0.0,0.0,33,1.17,161,138
11877,0.0,1.0,0.0,0.0,249,0.59,57,97
11878,1.0,0.0,0.0,0.0,31,1.08,122,113
11879,0.0,0.0,1.0,0.0,210,0.98,47,48
11880,0.0,1.0,0.0,0.0,236,1.02,46,45
11881,0.0,0.0,0.0,1.0,53,1.02,128,126
11882,0.0,1.0,0.0,0.0,233,1.04,104,100
11883,0.0,1.0,0.0,0.0,262,0.57,60,106
11884,0.0,0.0,0.0,1.0,64,0.6,59,98
11885,0.0,1.0,0.0,0.0,255,0.49,41,84
11886,0.0,0.0,1.0,0.0,213,0.95,92,97
11887,0.0,0.0,1.0,0.0,208,0.89,68,76
11888,1.0,0.0,0.0,0.0,22,1.06,108,102
11889,0.0,0.0,0.0,1.0,73,0.56,93,165
11890,1.0,0.0,0.0,0.0,12,0.95,39,41
11891,0.0,0.0,0.0,1.0,67,1.0,147,147
11892,0.0,1.0,0.0,0.0,244,0.8,45,56
11893,0.0,0.0,0.0,1.0,71,0.58,123,213
11894,0.0,0.0,1.0,0.0,199,1.07,44,41
11895,0.0,1.0,0.0,0.0,242,0.78,57,73
11896,0.0,0.0,0.0,1.0,73,0.53,75,141
11897,0.0,1.0,0.0,0.0,244,0.8,63,79
11898,0.0,0.0,0.0,1.0,54,0.81,145,178
11899,0.0,0.0,1.0,0.0,201,0.92,44,48
11900,1.0,0.0,0.0,0.0,22,0.89,109,122
11901,1.0,0.0,0.0,0.0,17,0.97,120,124
11902,0.0,0.0,0.0,1.0,59,0.95,112,118
11903,0.0,1.0,0.0,0.0,248,0.66,41,62
11904,1.0,0.0,0.0,0.0,9,0.91,31,34
11905,0.0,0.0,1.0,0.0,219,0.96,93,97
11906,0.0,1.0,0.0,0.0,253,0.57,46,80
11907,0.0,1.0,0.0,0.0,238,0.87,55,63
11908,1.0,0.0,0.0,0.0,27,1.03,80,78
11909,0.0,0.0,0.0,1.0,61,0.76,181,238
11910,0.0,0.0,0.0,1.0,81,0.47,44,94
11911,0.0,0.0,0.0,1.0,61,0.72,129,178
11912,0.0,0.0,0.0,1.0,53,1.0,142,142
11913,0.0,0.0,0.0,1.0,60,0.79,61,77
11914,0.0,0.0,1.0,0.0,208,1.01,114,113
11915,0.0,1.0,0.0,0.0,275,0.9,37,41
11916,0.0,0.0,1.0,0.0,220,0.85,73,86
11917,1.0,0.0,0.0,0.0,18,1.01,116,115
11918,1.0,0.0,0.0,0.0,352,0.76,31,41
11919,1.0,0.0,0.0,0.0,34,0.96,160,167
11920,0.0,0.0,1.0,0.0,211,0.95,71,75
11921,0.0,1.0,0.0,0.0,225,1.12,113,101
11922,0.0,0.0,0.0,1.0,56,0.9,123,136
11923,0.0,0.0,1.0,0.0,207,0.64,47,74
11924,0.0,0.0,0.0,1.0,72,1.04,47,45
11925,0.0,1.0,0.0,0.0,235,0.92,68,74
11926,0.0,1.0,0.0,0.0,236,0.91,87,96
11927,0.0,0.0,0.0,1.0,93,0.38,60,160
11928,0.0,0.0,1.0,0.0,228,1.04,142,137
11929,0.0,1.0,0.0,0.0,268,0.88,58,66
11930,1.0,0.0,0.0,0.0,24,1.08,186,173
11931,0.0,1.0,0.0,0.0,243,0.78,87,112
11932,1.0,0.0,0.0,0.0,41,1.08,255,236
11933,0.0,1.0,0.0,0.0,262,0.47,53,112
11934,0.0,1.0,0.0,0.0,231,1.12,103,92
11935,0.0,0.0,0.0,1.0,57,1.05,102,97
11936,0.0,1.0,0.0,0.0,255,0.55,45,82
11937,0.0,0.0,0.0,1.0,44,1.02,164,161
11938,1.0,0.0,0.0,0.0,23,0.97,86,89
11939,0.0,1.0,0.0,0.0,228,1.09,100,92
11940,0.0,0.0,0.0,1.0,44,1.0,181,181
11941,0.0,1.0,0.0,0.0,247,0.56,49,88
11942,0.0,1.0,0.0,0.0,237,0.87,58,67
11943,0.0,0.0,0.0,1.0,72,1.02,233,228
11944,0.0,0.0,1.0,0.0,217,0.82,76,93
11945,0.0,0.0,0.0,1.0,45,0.99,150,152
11946,0.0,1.0,0.0,0.0,249,0.61,56,92
11947,0.0,1.0,0.0,0.0,245,0.5,58,116
11948,1.0,0.0,0.0,0.0,24,0.82,63,77
11949,0.0,0.0,1.0,0.0,206,0.88,52,59
11950,0.0,0.0,1.0,0.0,203,0.91,42,46
11951,1.0,0.0,0.0,0.0,17,0.85,88,104
11952,0.0,0.0,0.0,1.0,57,0.94,135,144
11953,0.0,0.0,0.0,1.0,48,1.19,205,172
11954,1.0,0.0,0.0,0.0,14,0.98,57,58
11955,0.0,1.0,0.0,0.0,228,0.76,83,109
11956,0.0,0.0,1.0,0.0,207,1.11,82,74
11957,1.0,0.0,0.0,0.0,17,0.97,83,86
11958,0.0,1.0,0.0,0.0,239,0.71,58,82
11959,0.0,0.0,1.0,0.0,211,0.91,122,134
11960,0.0,0.0,1.0,0.0,213,0.82,60,73
11961,0.0,0.0,0.0,1.0,60,0.84,162,193
11962,0.0,0.0,0.0,1.0,50,1.03,141,137
11963,0.0,1.0,0.0,0.0,231,1.05,115,110
11964,0.0,0.0,1.0,0.0,195,0.95,39,41
11965,0.0,0.0,0.0,1.0,45,1.09,248,227
11966,0.0,1.0,0.0,0.0,230,1.16,52,45
11967,0.0,0.0,1.0,0.0,198,0.95,40,42
11968,0.0,0.0,0.0,1.0,66,0.66,87,131
11969,0.0,0.0,1.0,0.0,211,1.1,100,91
11970,0.0,0.0,0.0,1.0,71,0.46,58,126
11971,0.0,1.0,0.0,0.0,249,0.54,43,79
11972,0.0,1.0,0.0,0.0,226,1.21,119,98
11973,0.0,1.0,0.0,0.0,248,0.59,49,83
11974,0.0,1.0,0.0,0.0,265,0.42,39,92
11975,0.0,0.0,0.0,1.0,69,0.58,84,145
11976,0.0,0.0,0.0,1.0,71,0.65,130,201
11977,1.0,0.0,0.0,0.0,32,1.04,106,102
11978,1.0,0.0,0.0,0.0,27,0.98,84,86
11979,0.0,1.0,0.0,0.0,238,0.77,78,101
11980,0.0,1.0,0.0,0.0,253,0.58,32,55
11981,0.0,0.0,0.0,1.0,69,0.7,100,143
11982,0.0,1.0,0.0,0.0,258,0.51,41,81
11983,0.0,1.0,0.0,0.0,243,0.81,68,84
11984,0.0,0.0,0.0,1.0,82,0.94,31,33
11985,0.0,1.0,0.0,0.0,238,0.94,62,66
11986,0.0,1.0,0.0,0.0,244,1.26,48,38
11987,0.0,0.0,1.0,0.0,208,0.93,70,75
11988,0.0,1.0,0.0,0.0,234,0.91,88,97
11989,0.0,0.0,0.0,1.0,105,0.45,107,239
11990,1.0,0.0,0.0,0.0,18,0.92,110,119
11991,0.0,1.0,0.0,0.0,232,1.04,70,67
11992,0.0,1.0,0.0,0.0,236,1.03,143,139
11993,0.0,1.0,0.0,0.0,256,0.4,38,96
11994,1.0,0.0,0.0,0.0,24,0.88,82,93
11995,1.0,0.0,0.0,0.0,22,0.91,77,85
11996,0.0,1.0,0.0,0.0,228,1.01,112,111
11997,1.0,0.0,0.0,0.0,16,0.89,101,113
11998,0.0,1.0,0.0,0.0,250,0.46,43,94
11999,0.0,0.0,0.0,1.0,52,0.87,159,183
12000,1.0,0.0,0.0,0.0,17,0.96,97,101
12001,1.0,0.0,0.0,0.0,27,0.76,93,123
12002,0.0,0.0,1.0,0.0,206,0.95,58,61
12003,0.0,1.0,0.0,0.0,265,0.42,45,106
12004,0.0,0.0,0.0,1.0,43,0.9,91,101
12005,0.0,1.0,0.0,0.0,239,0.94,79,84
12006,0.0,1.0,0.0,0.0,252,0.51,38,74
12007,0.0,0.0,0.0,1.0,79,0.58,71,123
12008,0.0,1.0,0.0,0.0,256,0.42,38,90
12009,1.0,0.0,0.0,0.0,17,0.9,52,58
12010,0.0,1.0,0.0,0.0,243,0.89,50,56
12011,0.0,0.0,0.0,1.0,44,1.12,111,99
12012,0.0,1.0,0.0,0.0,262,0.88,68,77
12013,0.0,1.0,0.0,0.0,239,0.93,68,73
12014,0.0,0.0,0.0,1.0,49,0.98,216,220
12015,0.0,0.0,1.0,0.0,198,0.8,36,45
12016,0.0,0.0,0.0,1.0,93,0.83,44,53
12017,0.0,1.0,0.0,0.0,242,0.75,66,88
12018,0.0,1.0,0.0,0.0,229,0.93,78,84
12019,0.0,0.0,0.0,1.0,57,0.91,125,138
12020,0.0,0.0,1.0,0.0,213,0.84,68,81
12021,0.0,1.0,0.0,0.0,225,1.05,90,86
12022,0.0,0.0,1.0,0.0,205,0.87,46,53
12023,0.0,1.0,0.0,0.0,245,0.57,73,129
12024,0.0,1.0,0.0,0.0,235,0.96,89,93
12025,0.0,0.0,0.0,1.0,57,0.9,177,196
12026,1.0,0.0,0.0,0.0,11,0.87,68,78
12027,1.0,0.0,0.0,0.0,44,0.96,178,186
12028,0.0,1.0,0.0,0.0,247,0.63,56,89
12029,0.0,0.0,1.0,0.0,217,0.94,82,87
12030,1.0,0.0,0.0,0.0,24,0.86,86,100
12031,0.0,0.0,1.0,0.0,194,0.85,33,39
12032,0.0,0.0,0.0,1.0,71,0.52,101,194
12033,1.0,0.0,0.0,0.0,20,0.98,82,84
12034,0.0,0.0,1.0,0.0,202,0.92,35,38
12035,0.0,1.0,0.0,0.0,289,0.55,66,119
12036,0.0,1.0,0.0,0.0,256,0.45,39,87
12037,0.0,0.0,1.0,0.0,204,0.95,58,61
12038,1.0,0.0,0.0,0.0,27,0.97,154,159
12039,1.0,0.0,0.0,0.0,21,0.96,144,150
12040,0.0,0.0,0.0,1.0,59,0.85,120,142
12041,0.0,0.0,1.0,0.0,206,1.02,63,62
12042,0.0,0.0,0.0,1.0,51,1.05,134,128
12043,0.0,0.0,0.0,1.0,70,0.46,119,257
12044,1.0,0.0,0.0,0.0,30,0.84,92,109
12045,1.0,0.0,0.0,0.0,16,0.86,62,72
12046,0.0,0.0,1.0,0.0,204,0.93,53,57
12047,1.0,0.0,0.0,0.0,20,0.94,114,121
12048,0.0,0.0,0.0,1.0,77,0.51,79,156
12049,0.0,0.0,0.0,1.0,51,0.92,120,131
12050,1.0,0.0,0.0,0.0,24,0.9,98,109
12051,0.0,1.0,0.0,0.0,238,0.84,69,82
12052,0.0,0.0,0.0,1.0,45,1.15,128,111
12053,0.0,1.0,0.0,0.0,256,0.46,44,95
12054,0.0,1.0,0.0,0.0,250,0.63,66,105
12055,0.0,1.0,0.0,0.0,228,1.11,128,115
12056,0.0,0.0,0.0,1.0,61,1.04,231,222
12057,0.0,0.0,1.0,0.0,221,0.98,127,130
12058,0.0,0.0,0.0,1.0,63,0.63,74,117
12059,1.0,0.0,0.0,0.0,19,0.94,80,85
12060,0.0,1.0,0.0,0.0,232,0.89,93,104
12061,0.0,1.0,0.0,0.0,249,0.65,66,102
12062,0.0,0.0,0.0,1.0,64,0.69,104,150
12063,0.0,1.0,0.0,0.0,249,0.88,87,99
12064,0.0,1.0,0.0,0.0,247,0.52,52,100
12065,0.0,0.0,0.0,1.0,46,1.03,237,230
12066,0.0,0.0,0.0,1.0,73,0.37,86,234
12067,1.0,0.0,0.0,0.0,29,0.9,110,122
12068,0.0,1.0,0.0,0.0,245,0.8,77,96
12069,0.0,0.0,1.0,0.0,221,0.99,95,96
12070,1.0,0.0,0.0,0.0,20,0.89,72,81
12071,1.0,0.0,0.0,0.0,21,0.92,107,116
12072,0.0,0.0,0.0,1.0,59,0.63,138,218
12073,0.0,0.0,1.0,0.0,202,0.99,73,74
12074,1.0,0.0,0.0,0.0,19,0.94,102,108
12075,0.0,1.0,0.0,0.0,230,1.16,107,92
12076,1.0,0.0,0.0,0.0,25,1.04,160,154
12077,1.0,0.0,0.0,0.0,38,0.96,191,200
12078,0.0,0.0,0.0,1.0,71,0.59,128,218
12079,1.0,0.0,0.0,0.0,22,0.91,77,85
12080,0.0,1.0,0.0,0.0,239,0.81,61,75
12081,0.0,0.0,0.0,1.0,44,1.27,205,162
12082,0.0,1.0,0.0,0.0,250,0.57,45,79
12083,0.0,1.0,0.0,0.0,251,0.64,66,103
12084,0.0,0.0,0.0,1.0,71,1.02,59,58
12085,0.0,0.0,0.0,1.0,56,0.96,170,177
12086,0.0,1.0,0.0,0.0,260,0.41,43,105
12087,0.0,1.0,0.0,0.0,255,0.64,60,94
12088,1.0,0.0,0.0,0.0,320,1.06,75,71
12089,0.0,0.0,0.0,1.0,76,0.55,96,174
12090,1.0,0.0,0.0,0.0,20,0.85,72,85
12091,1.0,0.0,0.0,0.0,23,1.01,148,147
12092,0.0,0.0,0.0,1.0,69,0.65,90,139
12093,0.0,1.0,0.0,0.0,240,0.96,110,114
12094,0.0,0.0,0.0,1.0,62,1.02,146,143
12095,1.0,0.0,0.0,0.0,22,0.93,100,108
12096,0.0,0.0,1.0,0.0,207,0.92,58,63
12097,0.0,0.0,1.0,0.0,211,0.9,95,106
12098,0.0,1.0,0.0,0.0,225,1.17,62,53
12099,0.0,0.0,1.0,0.0,227,1.15,116,101
12100,0.0,0.0,0.0,1.0,42,1.16,147,127
12101,0.0,1.0,0.0,0.0,231,0.94,96,102
12102,0.0,0.0,0.0,1.0,70,0.64,89,140
12103,0.0,0.0,1.0,0.0,221,1.03,119,115
12104,0.0,0.0,0.0,1.0,45,1.41,257,182
12105,0.0,1.0,0.0,0.0,240,1.05,139,132
12106,0.0,0.0,0.0,1.0,86,0.45,72,159
12107,0.0,0.0,1.0,0.0,214,1.0,101,101
12108,0.0,0.0,0.0,1.0,83,0.57,129,228
12109,0.0,0.0,0.0,1.0,77,0.51,79,155
12110,0.0,1.0,0.0,0.0,243,0.86,50,58
12111,0.0,0.0,0.0,1.0,70,0.43,54,126
12112,1.0,0.0,0.0,0.0,342,0.8,32,40
12113,1.0,0.0,0.0,0.0,19,0.96,86,90
12114,0.0,0.0,0.0,1.0,62,0.78,131,167
12115,1.0,0.0,0.0,0.0,20,0.76,74,97
12116,1.0,0.0,0.0,0.0,31,0.92,178,194
12117,0.0,1.0,0.0,0.0,233,1.1,130,118
12118,0.0,0.0,0.0,1.0,92,0.75,155,207
12119,0.0,1.0,0.0,0.0,281,0.65,66,101
12120,0.0,0.0,0.0,1.0,46,1.11,193,174
12121,0.0,1.0,0.0,0.0,250,0.52,49,94
12122,0.0,0.0,0.0,1.0,56,0.85,169,199
12123,0.0,1.0,0.0,0.0,259,0.75,51,68
12124,0.0,0.0,0.0,1.0,78,0.47,103,217
12125,1.0,0.0,0.0,0.0,10,0.88,36,41
12126,0.0,0.0,0.0,1.0,63,0.79,169,213
12127,0.0,0.0,1.0,0.0,226,0.98,97,99
12128,1.0,0.0,0.0,0.0,20,0.86,71,83
12129,0.0,1.0,0.0,0.0,241,0.67,70,105
12130,0.0,1.0,0.0,0.0,244,0.75,130,173
12131,1.0,0.0,0.0,0.0,16,0.98,112,114
12132,0.0,0.0,1.0,0.0,199,0.98,47,48
12133,0.0,0.0,1.0,0.0,203,0.82,59,72
12134,1.0,0.0,0.0,0.0,21,0.7,56,80
12135,0.0,1.0,0.0,0.0,230,1.02,102,100
12136,1.0,0.0,0.0,0.0,20,0.94,63,67
12137,0.0,1.0,0.0,0.0,246,0.89,72,81
12138,0.0,0.0,0.0,1.0,76,0.46,80,174
12139,0.0,1.0,0.0,0.0,248,0.55,28,51
12140,0.0,0.0,0.0,1.0,81,0.34,84,245
12141,0.0,0.0,1.0,0.0,224,1.08,113,105
12142,0.0,0.0,1.0,0.0,204,0.69,37,54
12143,1.0,0.0,0.0,0.0,28,1.1,69,63
12144,0.0,1.0,0.0,0.0,228,1.2,102,85
12145,1.0,0.0,0.0,0.0,19,0.91,80,88
12146,0.0,1.0,0.0,0.0,230,0.96,107,112
12147,0.0,0.0,0.0,1.0,76,0.45,78,175
12148,1.0,0.0,0.0,0.0,22,0.88,69,78
12149,0.0,0.0,0.0,1.0,61,0.7,95,135
12150,1.0,0.0,0.0,0.0,47,0.98,170,173
12151,0.0,1.0,0.0,0.0,263,0.64,43,67
12152,0.0,0.0,0.0,1.0,42,0.94,145,155
12153,0.0,1.0,0.0,0.0,257,0.62,63,102
12154,0.0,1.0,0.0,0.0,246,0.8,103,128
12155,0.0,0.0,0.0,1.0,47,0.98,134,137
12156,0.0,0.0,0.0,1.0,50,1.08,103,95
12157,0.0,0.0,1.0,0.0,207,0.92,48,52
12158,0.0,0.0,1.0,0.0,196,0.94,34,36
12159,0.0,0.0,0.0,1.0,68,0.52,104,199
12160,0.0,1.0,0.0,0.0,236,0.72,91,126
12161,0.0,0.0,0.0,1.0,72,0.84,143,170
12162,0.0,1.0,0.0,0.0,222,1.32,102,77
12163,0.0,1.0,0.0,0.0,235,1.05,96,91
12164,1.0,0.0,0.0,0.0,22,0.93,83,89
12165,1.0,0.0,0.0,0.0,29,0.95,140,147
12166,0.0,0.0,1.0,0.0,212,0.94,100,106
12167,1.0,0.0,0.0,0.0,17,0.89,90,101
12168,0.0,1.0,0.0,0.0,279,0.94,33,35
12169,0.0,0.0,1.0,0.0,193,0.93,39,42
12170,1.0,0.0,0.0,0.0,11,0.85,33,39
12171,0.0,0.0,0.0,1.0,70,0.5,67,133
12172,1.0,0.0,0.0,0.0,47,1.49,109,73
12173,0.0,0.0,0.0,1.0,58,0.9,108,120
12174,0.0,0.0,1.0,0.0,211,0.93,82,88
12175,0.0,1.0,0.0,0.0,261,0.37,33,90
12176,0.0,1.0,0.0,0.0,248,0.56,48,86
12177,1.0,0.0,0.0,0.0,22,0.89,91,102
12178,0.0,0.0,0.0,1.0,47,1.02,221,216
12179,0.0,1.0,0.0,0.0,240,0.89,80,90
12180,0.0,1.0,0.0,0.0,242,0.79,104,132
12181,1.0,0.0,0.0,0.0,22,0.88,91,103
12182,0.0,1.0,0.0,0.0,226,1.12,209,187
12183,0.0,0.0,0.0,1.0,62,0.93,65,70
12184,0.0,0.0,0.0,1.0,63,0.78,95,122
12185,0.0,0.0,1.0,0.0,200,0.94,48,51
12186,0.0,1.0,0.0,0.0,235,0.87,85,98
12187,0.0,1.0,0.0,0.0,246,0.65,60,92
12188,0.0,1.0,0.0,0.0,239,0.79,77,98
12189,0.0,1.0,0.0,0.0,248,0.82,93,113
12190,0.0,0.0,0.0,1.0,48,1.01,134,133
12191,1.0,0.0,0.0,0.0,42,0.99,156,158
12192,0.0,0.0,0.0,1.0,76,0.59,148,251
12193,0.0,0.0,1.0,0.0,209,0.99,71,72
12194,0.0,0.0,0.0,1.0,66,0.64,155,243
12195,1.0,0.0,0.0,0.0,12,0.98,44,45
12196,0.0,0.0,0.0,1.0,60,0.94,246,262
12197,0.0,0.0,0.0,1.0,67,0.68,86,127
12198,0.0,1.0,0.0,0.0,248,0.93,113,122
12199,0.0,1.0,0.0,0.0,239,0.92,82,89
12200,0.0,0.0,1.0,0.0,197,0.92,36,39
12201,1.0,0.0,0.0,0.0,22,1.01,85,84
12202,0.0,0.0,0.0,1.0,59,0.94,111,118
12203,1.0,0.0,0.0,0.0,46,1.15,211,184
12204,0.0,1.0,0.0,0.0,247,0.75,84,112
12205,0.0,0.0,1.0,0.0,220,0.93,97,104
12206,0.0,1.0,0.0,0.0,244,0.63,90,143
12207,1.0,0.0,0.0,0.0,19,0.9,74,82
12208,0.0,0.0,0.0,1.0,76,0.46,44,95
12209,0.0,1.0,0.0,0.0,240,0.88,60,68
12210,0.0,0.0,1.0,0.0,200,0.92,34,37
12211,1.0,0.0,0.0,0.0,15,0.88,61,69
12212,1.0,0.0,0.0,0.0,16,0.98,87,89
12213,1.0,0.0,0.0,0.0,22,0.94,101,107
12214,1.0,0.0,0.0,0.0,22,1.01,109,108
12215,0.0,0.0,0.0,1.0,59,0.76,134,177
12216,1.0,0.0,0.0,0.0,18,0.82,72,88
12217,0.0,0.0,1.0,0.0,212,0.88,66,75
12218,0.0,0.0,0.0,1.0,85,0.89,31,35
12219,0.0,1.0,0.0,0.0,247,0.7,57,81
12220,0.0,0.0,0.0,1.0,51,1.07,105,98
12221,1.0,0.0,0.0,0.0,14,0.89,59,66
12222,0.0,1.0,0.0,0.0,240,0.79,52,66
12223,0.0,0.0,1.0,0.0,132,1.36,61,45
12224,0.0,0.0,1.0,0.0,200,1.0,44,44
12225,1.0,0.0,0.0,0.0,16,0.82,61,74
12226,1.0,0.0,0.0,0.0,22,0.97,112,115
12227,0.0,1.0,0.0,0.0,238,0.84,74,88
12228,0.0,0.0,0.0,1.0,75,0.57,94,166
12229,0.0,0.0,0.0,1.0,75,0.94,34,36
12230,0.0,1.0,0.0,0.0,246,0.8,70,88
12231,1.0,0.0,0.0,0.0,21,0.94,94,100
12232,1.0,0.0,0.0,0.0,14,0.91,43,47
12233,0.0,0.0,0.0,1.0,57,0.87,140,161
12234,1.0,0.0,0.0,0.0,17,0.97,72,74
12235,0.0,0.0,0.0,1.0,47,0.96,120,125
12236,0.0,1.0,0.0,0.0,243,0.75,85,114
12237,0.0,0.0,1.0,0.0,199,0.84,32,38
12238,0.0,1.0,0.0,0.0,228,0.97,86,89
12239,0.0,0.0,1.0,0.0,204,0.95,40,42
12240,1.0,0.0,0.0,0.0,26,0.97,126,130
12241,0.0,0.0,1.0,0.0,203,0.84,38,45
12242,0.0,1.0,0.0,0.0,243,0.81,73,90
12243,0.0,1.0,0.0,0.0,244,0.62,57,92
12244,0.0,1.0,0.0,0.0,247,0.77,69,90
12245,0.0,0.0,0.0,1.0,73,0.52,105,201
12246,0.0,0.0,1.0,0.0,193,0.87,33,38
12247,1.0,0.0,0.0,0.0,14,0.87,75,86
12248,0.0,1.0,0.0,0.0,234,0.94,76,81
12249,0.0,1.0,0.0,0.0,255,0.44,39,89
12250,1.0,0.0,0.0,0.0,26,0.95,104,110
12251,0.0,0.0,1.0,0.0,200,0.89,41,46
12252,1.0,0.0,0.0,0.0,19,0.91,101,111
12253,0.0,0.0,1.0,0.0,198,0.88,37,42
12254,1.0,0.0,0.0,0.0,16,0.85,55,65
12255,1.0,0.0,0.0,0.0,47,0.94,163,173
12256,0.0,0.0,1.0,0.0,201,0.96,48,50
12257,1.0,0.0,0.0,0.0,47,0.88,169,192
12258,0.0,0.0,0.0,1.0,56,0.83,110,133
12259,1.0,0.0,0.0,0.0,17,0.89,87,98
12260,0.0,0.0,1.0,0.0,222,0.97,103,106
12261,0.0,0.0,1.0,0.0,206,0.84,70,83
12262,0.0,0.0,0.0,1.0,56,0.86,119,138
12263,0.0,1.0,0.0,0.0,230,0.94,74,79
12264,1.0,0.0,0.0,0.0,35,1.05,154,147
12265,0.0,0.0,1.0,0.0,197,0.92,34,37
12266,1.0,0.0,0.0,0.0,26,1.02,133,131
12267,0.0,1.0,0.0,0.0,228,1.17,84,72
12268,0.0,0.0,0.0,1.0,55,0.84,106,126
12269,0.0,0.0,0.0,1.0,62,0.78,102,130
12270,0.0,1.0,0.0,0.0,247,0.58,38,66
12271,0.0,0.0,1.0,0.0,198,0.92,36,39
12272,0.0,1.0,0.0,0.0,258,0.86,50,58
12273,1.0,0.0,0.0,0.0,337,0.97,77,79
12274,1.0,0.0,0.0,0.0,39,1.03,223,217
12275,0.0,1.0,0.0,0.0,234,0.89,96,108
12276,1.0,0.0,0.0,0.0,16,0.85,71,84
12277,0.0,0.0,0.0,1.0,67,0.89,34,38
12278,0.0,0.0,0.0,1.0,45,1.17,162,138
12279,1.0,0.0,0.0,0.0,16,0.9,70,78
12280,1.0,0.0,0.0,0.0,33,1.2,115,96
12281,0.0,0.0,0.0,1.0,61,0.88,109,124
12282,0.0,0.0,0.0,1.0,66,0.68,129,190
12283,0.0,0.0,0.0,1.0,55,0.96,153,160
12284,0.0,1.0,0.0,0.0,251,0.76,90,119
12285,0.0,0.0,0.0,1.0,65,1.11,125,113
12286,1.0,0.0,0.0,0.0,38,1.06,224,212
12287,0.0,1.0,0.0,0.0,242,0.82,93,113
12288,1.0,0.0,0.0,0.0,15,0.78,43,55
12289,0.0,1.0,0.0,0.0,232,1.06,94,89
12290,1.0,0.0,0.0,0.0,8,0.97,36,37
12291,1.0,0.0,0.0,0.0,43,0.94,198,210
12292,0.0,0.0,1.0,0.0,218,0.84,81,96
12293,0.0,1.0,0.0,0.0,224,1.17,101,86
12294,0.0,0.0,1.0,0.0,203,0.96,49,51
12295,0.0,0.0,0.0,1.0,57,1.02,243,239
12296,1.0,0.0,0.0,0.0,26,0.99,142,143
12297,0.0,0.0,1.0,0.0,200,0.91,32,35
12298,0.0,0.0,1.0,0.0,201,0.89,41,46
12299,0.0,1.0,0.0,0.0,248,0.64,39,61
12300,1.0,0.0,0.0,0.0,10,0.86,32,37
12301,1.0,0.0,0.0,0.0,28,0.85,79,93
12302,0.0,0.0,1.0,0.0,198,0.95,41,43
12303,0.0,0.0,0.0,1.0,69,1.08,42,39
12304,0.0,1.0,0.0,0.0,264,0.85,60,71
12305,0.0,0.0,1.0,0.0,201,0.95,41,43
12306,0.0,1.0,0.0,0.0,252,0.74,57,77
12307,0.0,1.0,0.0,0.0,256,0.45,34,75
12308,0.0,0.0,1.0,0.0,206,0.93,52,56
12309,0.0,0.0,1.0,0.0,201,0.96,43,45
12310,0.0,0.0,0.0,1.0,63,1.03,227,221
12311,0.0,0.0,0.0,1.0,63,0.68,122,179
12312,1.0,0.0,0.0,0.0,24,0.95,104,109
12313,0.0,1.0,0.0,0.0,252,0.88,88,100
12314,1.0,0.0,0.0,0.0,22,1.01,105,104
12315,0.0,0.0,1.0,0.0,209,1.25,69,55
12316,0.0,0.0,0.0,1.0,47,1.39,307,221
12317,0.0,0.0,1.0,0.0,131,1.71,48,28
12318,0.0,0.0,0.0,1.0,61,0.81,78,96
12319,0.0,0.0,0.0,1.0,55,1.03,120,117
